166,ละทิ้ง,เจ้าพนักงาน,"งานหยุดชะงัก, เสียหาย",
,,,,
200,"ช่วย, แกล้ง","พนักงานอัยการ, ผู้ว่าคดี, พนักงานสอบสวน","ให้รับโทษน้อยลง, มิให้ต้องโทษ, รับโทษ, รับโทษหนักขึ้น",
201,"เรียก, รับ, ยอมรับ","พนักงานอัยการ, ผู้ว่าคดี, พนักงานสอบสวน",ทรัพย์สิน,
202,"กระทำ, ไม่กระทำ","พนักงานอัยการ, ผู้ว่าคดี, พนักงานสอบสวน",เห็นแก่ทรัพย์สิน,
203,"ป้องกัน, ขัดขวาง",เจ้าพนักงาน,คำพิพากษา,
204,กระทำการ,เจ้าพนักงาน,"ให้หลุดพ้น, กุมขัง",
205,,,ประมาท,204
,,,,
206,เหยียดหยาม,"วัตถุ, สถานที่","ศาสนา, เคารพ",
207,ก่อให้เกิด,"ที่ประชุมศาสนิกชน, พิธีกรรมตามศาสนา",ความวุ่นวาย,
208,แต่งกาย,"ภิกษุ, สามเณร, นักพรต, นักบวช",,
,,,,
209,เป็นสมาชิก,คณะบุคคล,มิชอบด้วยกฎหมาย,
210,"สมคบ, กระทำความผิด",,ห้าคนขึ้นไป,
211,ประชุม,"อั้งยี่, ซ่องโจร",,
212(1),จัดหา,"ที่ประชุม, ที่พำนัก","อั้งยี่, ซ่องโจร",
212(2),ชักชวน,เป็นสมาชิก,"อั้งยี่, ซ่องโจร",
212(3),"อุปการะ, ให้ทรัพย์","อั้งยี่, ซ่องโจร",,
212(4),จำหน่ายทรัพย์,"อั้งยี่, ซ่องโจร",ได้มาโดยกระทำความผิด,
213,กระทำความผิด,สมาชิก,"อั้งยี่, ซ่องโจร",
214,"จัดหา, ซ่อนเร้น","ที่ประชุม, ที่พำนัก",ผู้กระทำความผิด,
215,"ประทุษร้าย, ขู่เข็ญ",,สิบคนขึ้นไป,
216,สั่งให้เลิก,เจ้าพนักงาน,,216
,,,,
217,วางเพลิง,ทรัพย์,,
218,วางเพลิง,,,
218(1),,"โรงเรียน, เรือ, แพ",ที่คนอยู่อาศัย,218
218(2),,"โรงเรียน, เรือ, แพ","ที่เก็บ, ที่ทำสินค้า",218
218(3),,"โรงมหรสพ, สถานที่ประชุม",,218
218(4),,"โรงเรือน, สถานที่ประกอบพิธีกรรมตามศาสนา",สาธารณสมบัติ,218
218(5),,"สถานีรถไฟ, ท่าอากาศยาน, ที่จอดรถสาธารณะ, ที่จอดเรือสาธารณะ",,218
218(6),,"เรือกลไฟ, เรือยนต์, อากาศยาน, รถไฟ",,218
219,ตระเตรียม,,,"217, 218"
220,กระทำให้เกิดเพลิงไหม้,วัตถุใดๆ,อันตราย,
221,กระทำให้เกิดระเบิด,,,
222,กระทำให้เกิดระเบิด,,,"217, 218"
224,,,ถึงแก่ความตาย,"217, 218, 221, 222"
225,กระทำให้เกิดเพลิงไหม้,,ประมาท,
,,,,
250,ปลอม,"ดวงตราแผ่นดิน, รอยตราแผ่นดิน, พระปรมาภิไธย",,
251,ปลอม,"ดวงตรา, รอยตรา","ทบวงการเมือง, องค์การสาธารณะ",
252,ใช้,,,"250, 251"
253,"ได้มา, ใช้",,,"250, 251"
254,"ปลอม, แปลง",แสตมป์,"ภาษีอากร, ค่าธรรมเนียม",
255,นำเข้า,"ดวงตราแผ่นดิน, รอยตราแผ่นดิน, พระปรมาภิไธย",,
256,"ลบ, ถอน",แสตมป์รัฐบาล,ให้ใช้ได้อีก,254
257,"ใช้, ขาย, เสนอขาย, แลกเปลี่ยน, เสนอแลกเปลี่ยน",แสตมป์,,"254, 256"
258,ปลอม,ตั๋วโดยสาร,ขนส่งสาธารณะ,
260,"ใช้, ขาย, เสนอขาย, แลกเปลี่ยน, เสนอแลกเปลี่ยน",ตั๋ว,,258
261,ทำ,"เครื่องมือ, วัตถุ",สำหรับปลอม,"254, 258"
262,,,รัฐบาลต่างประเทศ,"254, 256, 257, 261"
,,,,
264,"ปลอม, ตัดทอน","เอกสาร, ข้อความ",,
265,ปลอม,"เอกสารสิทธิ, เอกสารราชการ",,
266,ปลอม,,,
266(1),,เอกสารสิทธิอันเป็นเอกสารราชการ,,266
266(2),,พินัยกรรม,,266
266(3),,"ใบหุ้น, ใบหุ้นกู้, ใบสำคัญของใบหุ้น, ใบสำคัญของใบหุ้นกู้",,266
266(4),,ตั๋วเงิน,,266
266(5),,บัตรเงินฝาก,,266
267,จด,"ข้อความเท็จ, เอกสารราชการ",เจ้าพนักงาน,
268,"ใช้, อ้าง",,,"264, 265, 266"
269,ทำ,คำรับรอง,เท็จ,
,,,,
270,มี,"เครื่องชั่ง, เครื่องตวง, เครื่องวัด",ผิดอัตรา,
271,ขาย,ของ,หลอกลวง,
272(1),"เอา, มาใช้","ชื่อ, รูป, รอยประดิษฐ์, ข้อความ, หีบ, ห่อ, สินค้า, หุ้มห่อ",ของผู้อื่น,
272(2),"เลียน, เข้าใจผิด","ป้าย, สถานที่",ใกล้เคียง,
272(3),แพร่,"ข้อความ, สถานที่การค้า, สินค้า, อุตสาหกรรม, พาณิชย์","เท็จ, เสียความเชื่อ",
273,ปลอม,เครื่องหมายการค้า,ผู้อื่น,
274,เลียน,เครื่องหมายการค้า,ผู้อื่น,
275,"นำเข้า, จำหน่าย, เสนอจำหน่าย",สินค้า,,272(1)
,,,,
276,"ข่มขืน, กระทำชำเรา, ขู่เข็ญ",,,
277,"กระทำชำเรา, โทรม",,อายุไม่เกินสิบห้าปี,
278,"ทำอนาจาร, ขู่เข็ญ, ใช้กำลัง",,อายุไม่เกินสิบห้าปี,
279,ทำอนาจาร,,อายุไม่เกินสิบห้าปี,
280(1),,รับอันตรายสาหัส,,"278, 279"
280(2),,ถึงแก่ความตาย,,"278, 279"
282,"สนอง, จัดหา, ล่อไป, พาไป, อนาจาร",ความใคร่,ยินยอม,
283,"สนอง, จัดหา, ล่อไป, พาไป, อนาจาร",,อุบายหลอกลวง,
284,"พาไป, ขู่เข็ญ",การอนาจาร,อุบายหลอกลวง,
285,,"ผู้สืบสันดาน, ศิษย์, ผู้อยู่ในความควบคุม",,"276, 277, 278, 279, 280, 282, 283"
286,ดำรงชีพอยู่,ผู้ซึ่งค้าประเวณี,อายุกว่าสิบหกปี,
,,,,
171,ขัดขืนคําสั่ง,ศาล,"สาบาน, ปฏิญาณ, ถ้อยคํา, เบิกความ",
172,แจ้งข้อความอันเป็นเท็จ,"พนักงานอัยการ, ผู้ว่าคดีพนักงานสอบสวน, เจ้าพนักงานผู้มีอํานาจสืบสวนคดีอาญา","อาจทําให้ ผู้อื่น, ประชาชน เสียหาย",
173,แจ้งข้อความ,"พนักงานสอบสวน, เจ้าพนักงานผู้มีอํานาจสืบสวนคดีอาญา",มิได้มีการกระทําความผิดแต่แจ้งว่าได้มีการกระทําความผิด,
174,แกล้ง,,รับโทษหนักขึ้น,"172, 173"
175,ฟ้องผู้อื่น,ศาล,แรงกว่าที่เป็นความจริง,
176,ลุแก่โทษ,ศาล,"ถอนฟ้อง, แก้ฟ้องก่อนมีคําพิพากษา",175
177,เบิกความอันเป็นเท็จ,ศาล,เป็นข้อสําคัญในคดี,
178,"แปลข้อความ, ความหมาย","เจ้าพนักงานในตําแหน่งตุลาการ, พนักงานอัยการ, ผู้ว่าคดี, พนักงานสอบสวน",ให้ผิดไปในข้อสําคัญ,
179,ทําพยานหลักฐานอันเป็นเท็จ,"พนักงานสอบสวน, เจ้าพนักงานผู้มีอํานาจสืบสวนคดีอาญา",,
180,"นําสืบ, แสดงพยานหลักฐานอันเป็นเท็จ",การพิจารณาคดี,พยานหลักฐานในข้อสําคัญในคดีนั้น,
182,ลุแก่โทษ,"ศาล, เจ้าพนักงาน",กลับแจ้งความจริงก่อนจบคําเบิกความ,"177, 178"
183,ลุแก่โทษ,"ศาล, เจ้าพนักงาน",ก่อนตนถูกฟ้อง,
